Study_ID,Sample_ID,Blank_collection_method,Blank_Type,Sample_Type,Taxa,Family,Order,Stage,Metamorphosis,Site,Exposure,Stream_Type,Month,Water_Temp,Dissolved_oxygen,Total_Phosphorus,Total_Dissolved_Solids,Total_Suspended_Solids,Ammonia,Total_Organic_Carbon,pH
KK1848,ACWA_Cont_Lar_MB_4,Water September,,Sample,Insect,Hydropsychidae,Tricoptera,Larvae,Holometabolous,BRR2,,ACWA Streams,September,11,,,,,,,
KK1849,ACWA_Cont_Lar_MB_5,Water September,,Sample,Insect,Hydropsychidae,Tricoptera,Larvae,Holometabolous,BRR2,,ACWA Streams,September,11,,,,,,,
KK1850,ACWA_Cont_Lar_MB_6,Water September,,Sample,Insect,Hydropsychidae,Tricoptera,Larvae,Holometabolous,BRR2,,ACWA Streams,September,11,,,,,,,
KK1851,ACWA_Cont_Lar_MB_7,Water September,,Sample,Insect,Hydropsychidae,Tricoptera,Larvae,Holometabolous,BRR2,,ACWA Streams,September,11,,,,,,,
KK1852,ACWA_Cont_Lar_MB_8,Water September,,Sample,Insect,Hydropsychidae,Tricoptera,Larvae,Holometabolous,BRR2,,ACWA Streams,September,11,,,,,,,
KK1853,ACWA_5%_Lar_MB_1,Water September,,Sample,Insect,Hydropsychidae,Tricoptera,Larvae,Holometabolous,PCR1,,ACWA Streams,September,13,,,,,,,
KK1854,ACWA_5%_Lar_MB_2,Water September,,Sample,Insect,Hydropsychidae,Tricoptera,Larvae,Holometabolous,PCR1,,ACWA Streams,September,13,,,,,,,
KK1855,ACWA_5%_Lar_MB_3,Water September,,Sample,Insect,Hydropsychidae,Tricoptera,Larvae,Holometabolous,PCR1,,ACWA Streams,September,13,,,,,,,
KK1856,ACWA_5%_Lar_MB_4,Water September,,Sample,Insect,Hydropsychidae,Tricoptera,Larvae,Holometabolous,PCR1,,ACWA Streams,September,13,,,,,,,
KK1857,ACWA_5%_Lar_MB_5,Water September,,Sample,Insect,Hydropsychidae,Tricoptera,Larvae,Holometabolous,PCR1,,ACWA Streams,September,13,,,,,,,
KK1858,ACWA_5%_Lar_MB_6,Water September,,Sample,Insect,Hydropsychidae,Tricoptera,Larvae,Holometabolous,PCR1,,ACWA Streams,September,13,,,,,,,
KK1859,ACWA_5%_Lar_MB_7,Water September,,Sample,Insect,Hydropsychidae,Tricoptera,Larvae,Holometabolous,PCR1,,ACWA Streams,September,13,,,,,,,
KK1860,ACWA_5%_Lar_MB_8,Water September,,Sample,Insect,Hydropsychidae,Tricoptera,Larvae,Holometabolous,PCR1,,ACWA Streams,September,13,,,,,,,
KK1861,ACWA_15%_Lar_MB_1,Water September,,Sample,Insect,Hydropsychidae,Tricoptera,Larvae,Holometabolous,PCR3,,ACWA Streams,September,14,,,,,,,
KK1862,ACWA_15%_Lar_MB_2,Water September,,Sample,Insect,Hydropsychidae,Tricoptera,Larvae,Holometabolous,PCR3,,ACWA Streams,September,14,,,,,,,
KK1863,ACWA_15%_Lar_MB_3,Water September,,Sample,Insect,Hydropsychidae,Tricoptera,Larvae,Holometabolous,PCR3,,ACWA Streams,September,14,,,,,,,
KK1864,ACWA_15%_Lar_MB_4,Water September,,Sample,Insect,Hydropsychidae,Tricoptera,Larvae,Holometabolous,PCR3,,ACWA Streams,September,14,,,,,,,
KK1865,ACWA_15%_Lar_MB_5,Water September,,Sample,Insect,Hydropsychidae,Tricoptera,Larvae,Holometabolous,PCR3,,ACWA Streams,September,14,,,,,,,
KK1866,ACWA_15%_Lar_MB_6,Water September,,Sample,Insect,Hydropsychidae,Tricoptera,Larvae,Holometabolous,PCR3,,ACWA Streams,September,14,,,,,,,
KK1867,ACWA_15%_Lar_MB_7,Water September,,Sample,Insect,Hydropsychidae,Tricoptera,Larvae,Holometabolous,PCR3,,ACWA Streams,September,14,,,,,,,
KK1868,ACWA_15%_Lar_MB_8,Water September,,Sample,Insect,Hydropsychidae,Tricoptera,Larvae,Holometabolous,PCR3,,ACWA Streams,September,14,,,,,,,
KK1869,COCH_1_Lar_Mayfly_MB_1,Water July,,Sample,Insect,Heptageniidae,Ephemeroptera,Larvae,Hemimetabolous,Cochrane,Unexposed,Bow River,July,12.5,10.27,0.008,142,6.2,0.025,1,8.3
KK1870,COCH_1_Lar_Mayfly_MB_2,Water July,,Sample,Insect,Heptageniidae,Ephemeroptera,Larvae,Hemimetabolous,Cochrane,Unexposed,Bow River,July,12.5,10.27,0.008,142,6.2,0.025,1,8.3
KK1871,COCH_1_Lar_Mayfly_MB_3,Water July,,Sample,Insect,Heptageniidae,Ephemeroptera,Larvae,Hemimetabolous,Cochrane,Unexposed,Bow River,July,12.5,10.27,0.008,142,6.2,0.025,1,8.3
KK1872,COCH_1_Lar_Mayfly_MB_4,Water July,,Sample,Insect,Heptageniidae,Ephemeroptera,Larvae,Hemimetabolous,Cochrane,Unexposed,Bow River,July,12.5,10.27,0.008,142,6.2,0.025,1,8.3
KK1873,COCH_1_Lar_Mayfly_MB_5,Water July,,Sample,Insect,Heptageniidae,Ephemeroptera,Larvae,Hemimetabolous,Cochrane,Unexposed,Bow River,July,12.5,10.27,0.008,142,6.2,0.025,1,8.3
KK1874,COCH_1_Lar_Mayfly_MB_6,Water July,,Sample,Insect,Heptageniidae,Ephemeroptera,Larvae,Hemimetabolous,Cochrane,Unexposed,Bow River,July,12.5,10.27,0.008,142,6.2,0.025,1,8.3
KK1875,COCH_1_Lar_Mayfly_MB_7,Water July,,Sample,Insect,Heptageniidae,Ephemeroptera,Larvae,Hemimetabolous,Cochrane,Unexposed,Bow River,July,12.5,10.27,0.008,142,6.2,0.025,1,8.3
KK1876,COCH_1_Lar_Mayfly_MB_8,Water July,,Sample,Insect,Heptageniidae,Ephemeroptera,Larvae,Hemimetabolous,Cochrane,Unexposed,Bow River,July,12.5,10.27,0.008,142,6.2,0.025,1,8.3
KK1877,CUSHBR_1_Lar_Mayfly_MB_1,Water July,,Sample,Insect,Heptageniidae,Ephemeroptera,Larvae,Hemimetabolous,Cushing Bridge,Unexposed,Bow River,July,14.3,9.68,0.009,158,6.1,0.025,1.3,8.3
KK1878,CUSHBR_1_Lar_Mayfly_MB_2,Water July,,Sample,Insect,Heptageniidae,Ephemeroptera,Larvae,Hemimetabolous,Cushing Bridge,Unexposed,Bow River,July,14.3,9.68,0.009,158,6.1,0.025,1.3,8.3
KK1879,CUSHBR_1_Lar_Mayfly_MB_3,Water July,,Sample,Insect,Heptageniidae,Ephemeroptera,Larvae,Hemimetabolous,Cushing Bridge,Unexposed,Bow River,July,14.3,9.68,0.009,158,6.1,0.025,1.3,8.3
KK1880,CUSHBR_1_Lar_Mayfly_MB_4,Water July,,Sample,Insect,Heptageniidae,Ephemeroptera,Larvae,Hemimetabolous,Cushing Bridge,Unexposed,Bow River,July,14.3,9.68,0.009,158,6.1,0.025,1.3,8.3
KK1881,CUSHBR_1_Lar_Mayfly_MB_5,Water July,,Sample,Insect,Heptageniidae,Ephemeroptera,Larvae,Hemimetabolous,Cushing Bridge,Unexposed,Bow River,July,14.3,9.68,0.009,158,6.1,0.025,1.3,8.3
KK1882,CUSHBR_1_Lar_Mayfly_MB_6,Water July,,Sample,Insect,Heptageniidae,Ephemeroptera,Larvae,Hemimetabolous,Cushing Bridge,Unexposed,Bow River,July,14.3,9.68,0.009,158,6.1,0.025,1.3,8.3
KK1883,CUSHBR_1_Lar_Mayfly_MB_7,Water July,,Sample,Insect,Heptageniidae,Ephemeroptera,Larvae,Hemimetabolous,Cushing Bridge,Unexposed,Bow River,July,14.3,9.68,0.009,158,6.1,0.025,1.3,8.3
KK1884,CUSHBR_1_Lar_Mayfly_MB_8,Water July,,Sample,Insect,Heptageniidae,Ephemeroptera,Larvae,Hemimetabolous,Cushing Bridge,Unexposed,Bow River,July,14.3,9.68,0.009,158,6.1,0.025,1.3,8.3
KK1885,SUNAL_1_Lar_Mayfly_MB_1,Water July,,Sample,Insect,Heptageniidae,Ephemeroptera,Larvae,Hemimetabolous,Sunalta,Unexposed,Bow River,July,14.7,9.76,0.008,145,5.1,0.025,1,8.4
KK1886,SUNAL_1_Lar_Mayfly_MB_2,Water July,,Sample,Insect,Heptageniidae,Ephemeroptera,Larvae,Hemimetabolous,Sunalta,Unexposed,Bow River,July,14.7,9.76,0.008,145,5.1,0.025,1,8.4
KK1887,SUNAL_1_Lar_Mayfly_MB_3,Water July,,Sample,Insect,Heptageniidae,Ephemeroptera,Larvae,Hemimetabolous,Sunalta,Unexposed,Bow River,July,14.7,9.76,0.008,145,5.1,0.025,1,8.4
KK1888,SUNAL_1_Lar_Mayfly_MB_4,Water July,,Sample,Insect,Heptageniidae,Ephemeroptera,Larvae,Hemimetabolous,Sunalta,Unexposed,Bow River,July,14.7,9.76,0.008,145,5.1,0.025,1,8.4
KK1889,SUNAL_1_Lar_Mayfly_MB_5,Water July,,Sample,Insect,Heptageniidae,Ephemeroptera,Larvae,Hemimetabolous,Sunalta,Unexposed,Bow River,July,14.7,9.76,0.008,145,5.1,0.025,1,8.4
KK1890,SUNAL_1_Lar_Mayfly_MB_6,Water July,,Sample,Insect,Heptageniidae,Ephemeroptera,Larvae,Hemimetabolous,Sunalta,Unexposed,Bow River,July,14.7,9.76,0.008,145,5.1,0.025,1,8.4
KK1891,SUNAL_1_Lar_Mayfly_MB_7,Water July,,Sample,Insect,Heptageniidae,Ephemeroptera,Larvae,Hemimetabolous,Sunalta,Unexposed,Bow River,July,14.7,9.76,0.008,145,5.1,0.025,1,8.4
KK1892,SUNAL_1_Lar_Mayfly_MB_8,Water July,,Sample,Insect,Heptageniidae,Ephemeroptera,Larvae,Hemimetabolous,Sunalta,Unexposed,Bow River,July,14.7,9.76,0.008,145,5.1,0.025,1,8.4
KK1893,GRVBR_1_Lar_Mayfly_MB_1,Water July,,Sample,Insect,Heptageniidae,Ephemeroptera,Larvae,Hemimetabolous,Graves Bridge,Exposed,Bow River,July,,,,,,,,
KK1894,GRVBR_1_Lar_Mayfly_MB_2,Water July,,Sample,Insect,Heptageniidae,Ephemeroptera,Larvae,Hemimetabolous,Graves Bridge,Exposed,Bow River,July,,,,,,,,
KK1895,GRVBR_1_Lar_Mayfly_MB_3,Water July,,Sample,Insect,Heptageniidae,Ephemeroptera,Larvae,Hemimetabolous,Graves Bridge,Exposed,Bow River,July,,,,,,,,
KK1896,GRVBR_1_Lar_Mayfly_MB_4,Water July,,Sample,Insect,Heptageniidae,Ephemeroptera,Larvae,Hemimetabolous,Graves Bridge,Exposed,Bow River,July,,,,,,,,
KK1897,GRVBR_1_Lar_Mayfly_MB_5,Water July,,Sample,Insect,Heptageniidae,Ephemeroptera,Larvae,Hemimetabolous,Graves Bridge,Exposed,Bow River,July,,,,,,,,
KK1898,GRVBR_1_Lar_Mayfly_MB_6,Water July,,Sample,Insect,Heptageniidae,Ephemeroptera,Larvae,Hemimetabolous,Graves Bridge,Exposed,Bow River,July,,,,,,,,
KK1899,GRVBR_1_Lar_Mayfly_MB_7,Water July,,Sample,Insect,Heptageniidae,Ephemeroptera,Larvae,Hemimetabolous,Graves Bridge,Exposed,Bow River,July,,,,,,,,
KK1900,GRVBR_1_Lar_Mayfly_MB_8,Water July,,Sample,Insect,Heptageniidae,Ephemeroptera,Larvae,Hemimetabolous,Graves Bridge,Exposed,Bow River,July,,,,,,,,
KK1901,POLFLT_1_Lar_Mayfly_MB_1,Water July,,Sample,Insect,Heptageniidae,Ephemeroptera,Larvae,Hemimetabolous,Policeman Flats,Exposed,Bow River,July,13.7,9.46,0.019,165,8.9,0.025,0.9,8.2
KK1902,POLFLT_1_Lar_Mayfly_MB_2,Water July,,Sample,Insect,Heptageniidae,Ephemeroptera,Larvae,Hemimetabolous,Policeman Flats,Exposed,Bow River,July,13.7,9.46,0.019,165,8.9,0.025,0.9,8.2
KK1903,POLFLT_1_Lar_Mayfly_MB_3,Water July,,Sample,Insect,Heptageniidae,Ephemeroptera,Larvae,Hemimetabolous,Policeman Flats,Exposed,Bow River,July,13.7,9.46,0.019,165,8.9,0.025,0.9,8.2
KK1904,POLFLT_1_Lar_Mayfly_MB_4,Water July,,Sample,Insect,Heptageniidae,Ephemeroptera,Larvae,Hemimetabolous,Policeman Flats,Exposed,Bow River,July,13.7,9.46,0.019,165,8.9,0.025,0.9,8.2
KK1905,POLFLT_1_Lar_Mayfly_MB_5,Water July,,Sample,Insect,Heptageniidae,Ephemeroptera,Larvae,Hemimetabolous,Policeman Flats,Exposed,Bow River,July,13.7,9.46,0.019,165,8.9,0.025,0.9,8.2
KK1906,POLFLT_1_Lar_Mayfly_MB_6,Water July,,Sample,Insect,Heptageniidae,Ephemeroptera,Larvae,Hemimetabolous,Policeman Flats,Exposed,Bow River,July,13.7,9.46,0.019,165,8.9,0.025,0.9,8.2
KK1907,POLFLT_1_Lar_Mayfly_MB_7,Water July,,Sample,Insect,Heptageniidae,Ephemeroptera,Larvae,Hemimetabolous,Policeman Flats,Exposed,Bow River,July,13.7,9.46,0.019,165,8.9,0.025,0.9,8.2
KK1908,POLFLT_1_Lar_Mayfly_MB_8,Water July,,Sample,Insect,Heptageniidae,Ephemeroptera,Larvae,Hemimetabolous,Policeman Flats,Exposed,Bow River,July,13.7,9.46,0.019,165,8.9,0.025,0.9,8.2
KK1909,COCH_1_Lar_Chiro_MB_1,Water July,,Sample,Insect,Chironomidae,Diptera,Larvae,Holometabolous,Cochrane,Unexposed,Bow River,July,12.5,10.27,0.008,142,6.2,0.025,1,8.3
KK1910,COCH_1_Lar_Chiro_MB_2,Water July,,Sample,Insect,Chironomidae,Diptera,Larvae,Holometabolous,Cochrane,Unexposed,Bow River,July,12.5,10.27,0.008,142,6.2,0.025,1,8.3
KK1911,COCH_1_Lar_Chiro_MB_3,Water July,,Sample,Insect,Chironomidae,Diptera,Larvae,Holometabolous,Cochrane,Unexposed,Bow River,July,12.5,10.27,0.008,142,6.2,0.025,1,8.3
KK1912,COCH_1_Lar_Chiro_MB_4,Water July,,Sample,Insect,Chironomidae,Diptera,Larvae,Holometabolous,Cochrane,Unexposed,Bow River,July,12.5,10.27,0.008,142,6.2,0.025,1,8.3
KK1913,COCH_1_Lar_Chiro_MB_5,Water July,,Sample,Insect,Chironomidae,Diptera,Larvae,Holometabolous,Cochrane,Unexposed,Bow River,July,12.5,10.27,0.008,142,6.2,0.025,1,8.3
KK1914,COCH_1_Lar_Chiro_MB_6,Water July,,Sample,Insect,Chironomidae,Diptera,Larvae,Holometabolous,Cochrane,Unexposed,Bow River,July,12.5,10.27,0.008,142,6.2,0.025,1,8.3
KK1915,CUSHBR_1_Lar_Chiro_MB_1,Water July,,Sample,Insect,Chironomidae,Diptera,Larvae,Holometabolous,Cushing Bridge,Unexposed,Bow River,July,14.3,9.68,0.009,158,6.1,0.025,1.3,8.3
KK1916,CUSHBR_1_Lar_Chiro_MB_2,Water July,,Sample,Insect,Chironomidae,Diptera,Larvae,Holometabolous,Cushing Bridge,Unexposed,Bow River,July,14.3,9.68,0.009,158,6.1,0.025,1.3,8.3
KK1917,CUSHBR_1_Lar_Chiro_MB_3,Water July,,Sample,Insect,Chironomidae,Diptera,Larvae,Holometabolous,Cushing Bridge,Unexposed,Bow River,July,14.3,9.68,0.009,158,6.1,0.025,1.3,8.3
KK1918,CUSHBR_1_Lar_Chiro_MB_4,Water July,,Sample,Insect,Chironomidae,Diptera,Larvae,Holometabolous,Cushing Bridge,Unexposed,Bow River,July,14.3,9.68,0.009,158,6.1,0.025,1.3,8.3
KK1919,CUSHBR_1_Lar_Chiro_MB_5,Water July,,Sample,Insect,Chironomidae,Diptera,Larvae,Holometabolous,Cushing Bridge,Unexposed,Bow River,July,14.3,9.68,0.009,158,6.1,0.025,1.3,8.3
KK1920,CUSHBR_1_Lar_Chiro_MB_6,Water July,,Sample,Insect,Chironomidae,Diptera,Larvae,Holometabolous,Cushing Bridge,Unexposed,Bow River,July,14.3,9.68,0.009,158,6.1,0.025,1.3,8.3
KK1921,CUSHBR_1_Lar_Chiro_MB_7,Water July,,Sample,Insect,Chironomidae,Diptera,Larvae,Holometabolous,Cushing Bridge,Unexposed,Bow River,July,14.3,9.68,0.009,158,6.1,0.025,1.3,8.3
KK1922,CUSHBR_1_Lar_Chiro_MB_8,Water July,,Sample,Insect,Chironomidae,Diptera,Larvae,Holometabolous,Cushing Bridge,Unexposed,Bow River,July,14.3,9.68,0.009,158,6.1,0.025,1.3,8.3
KK1923,POLFLT_1_Lar_Chiro_MB_1,Water July,,Sample,Insect,Chironomidae,Diptera,Larvae,Holometabolous,Policeman Flats,Exposed,Bow River,July,13.7,9.46,0.019,165,8.9,0.025,0.9,8.2
KK1924,POLFLT_1_Lar_Chiro_MB_2,Water July,,Sample,Insect,Chironomidae,Diptera,Larvae,Holometabolous,Policeman Flats,Exposed,Bow River,July,13.7,9.46,0.019,165,8.9,0.025,0.9,8.2
KK1925,POLFLT_1_Lar_Chiro_MB_3,Water July,,Sample,Insect,Chironomidae,Diptera,Larvae,Holometabolous,Policeman Flats,Exposed,Bow River,July,13.7,9.46,0.019,165,8.9,0.025,0.9,8.2
KK1926,POLFLT_1_Lar_Chiro_MB_4,Water July,,Sample,Insect,Chironomidae,Diptera,Larvae,Holometabolous,Policeman Flats,Exposed,Bow River,July,13.7,9.46,0.019,165,8.9,0.025,0.9,8.2
KK1927,POLFLT_1_Lar_Chiro_MB_5,Water July,,Sample,Insect,Chironomidae,Diptera,Larvae,Holometabolous,Policeman Flats,Exposed,Bow River,July,13.7,9.46,0.019,165,8.9,0.025,0.9,8.2
KK1928,POLFLT_1_Lar_Chiro_MB_6,Water July,,Sample,Insect,Chironomidae,Diptera,Larvae,Holometabolous,Policeman Flats,Exposed,Bow River,July,13.7,9.46,0.019,165,8.9,0.025,0.9,8.2
KK1929,POLFLT_1_Lar_Chiro_MB_7,Water July,,Sample,Insect,Chironomidae,Diptera,Larvae,Holometabolous,Policeman Flats,Exposed,Bow River,July,13.7,9.46,0.019,165,8.9,0.025,0.9,8.2
KK1930,POLFLT_1_Lar_Chiro_MB_8,Water July,,Sample,Insect,Chironomidae,Diptera,Larvae,Holometabolous,Policeman Flats,Exposed,Bow River,July,13.7,9.46,0.019,165,8.9,0.025,0.9,8.2
KK1931,COCH_1_Lar_Stonefly_MB_1,Water July,,Sample,Insect,Perlidae,Plecoptera,Larvae,Hemimetabolous,Cochrane,Unexposed,Bow River,July,12.5,10.27,0.008,142,6.2,0.025,1,8.3
KK1932,COCH_1_Lar_Stonefly_MB_2,Water July,,Sample,Insect,Perlidae,Plecoptera,Larvae,Hemimetabolous,Cochrane,Unexposed,Bow River,July,12.5,10.27,0.008,142,6.2,0.025,1,8.3
KK1933,COCH_1_Lar_Stonefly_MB_3,Water July,,Sample,Insect,Perlidae,Plecoptera,Larvae,Hemimetabolous,Cochrane,Unexposed,Bow River,July,12.5,10.27,0.008,142,6.2,0.025,1,8.3
