Pathways	Reaction-List	Common-Name	Names	Regulated-By	Primary-Products	Primary-Reactants	Object ID	Super-Pathways	Ontology -  all instances of class	Ontology - all subclasses of class	Ontology - direct instances of class	Ontology - direct parents of entity	Ontology - direct subclasses of class	Ontology - pathway type	Final_pathway	Compounds of pathway	Reactants of pathway	Reactions of pathway
PWY-5340	ADENYLYLSULFKIN-RXN // SULFATE-ADENYLYLTRANS-RXN	sulfate activation for sulfonation	sulfate activation for sulfonation // sulfation pathway		PAPS	SULFATE	PWY-5340	SO4ASSIM-PWY				Activation // Sulfur-Metabolism		Activation // Noncarbon-Nutrients	Noncarbon-Nutrients	PPI // SULFATE // ADP // PAPS // PROTON // APS // ATP	ATP // SULFATE	ADENYLYLSULFKIN-RXN // SULFATE-ADENYLYLTRANS-RXN
PWYQT-4476	RXN-18230 // RXN-1404 // RXN-12206 // RXN-12205 // RXNQT-4350 // RXNQT-4358 // RXNQT-4357 // RXNQT-4356 // RXNQT-4355 // RXNQT-4353 // RXNQT-4352 // RXNQT-4351 // RXN-1444	indole glucosinolate activation (herbivore attack)	indole glucosinolate activation (herbivore attack) // indole glucosinolate breakdown (herbivore attack) // glucosinolate degradation		CPD-13135 // CPDQT-426 // CPDQT-427 // CPDQT-425 // CPDQT-424	CPD-1863	PWYQT-4476					GLUCOSINOLATE-DEG		Activation // Secondary metabolite degradation	Secondary metabolite degradation	Glucopyranose // CPD-1863 // Elemental-Sulfur // PROTON // FORMALDEHYDE // CPDQT-424 // Donor-H2 // Acceptor // CPDQT-425 // GLUTATHIONE // CPDQT-427 // CPDQT-428 // CYS // CPDQT-426 // ASCORBATE // SULFATE // CPD-1881 // INDOLE-3-CARBOXALDEHYDE // CPD-13135 // AMMONIUM // INDOLE_ACETATE_AUXIN // INDOLEYL-CPD // WATER // CPD-19512 // CPD-19511 // CPDQT-429	ASCORBATE // CYS // GLUTATHIONE // Acceptor // CPD-1863	RXN-18230 // RXN-1404 // RXN-12206 // RXN-12205 // RXNQT-4350 // RXNQT-4358 // RXNQT-4357 // RXNQT-4356 // RXNQT-4355 // RXNQT-4353 // RXNQT-4352 // RXNQT-4351 // RXN-1444
PWY-6684	RXN-12027 // RXN-12026 // RXN-12025 // RXN-12024	aromatic  glucosinolate activation	aromatic  glucosinolate activation // glucotropeolin breakdown		BENZYL-ISOTHIOCYANATE // CPD-65 // PHENYLACETONITRILE	GLUCOTROPEOLIN	PWY-6684					GLUCOSINOLATE-DEG		Activation // Secondary metabolite degradation	Secondary metabolite degradation	PROTON // Glucopyranose // GLUCOTROPEOLIN // WATER // Elemental-Sulfur // PHENYLACETONITRILE // CPD-65 // SULFATE // BENZYL-ISOTHIOCYANATE // CPD-13006	GLUCOTROPEOLIN // WATER	RXN-12027 // RXN-12026 // RXN-12025 // RXN-12024
PWYQT-4477	RXN-19576 // RXN-19574 // RXN-2163 // RXN-2162 // RXN-1444 // RXNQT-4350 // RXNQT-4363 // RXNQT-4364 // RXNQT-4362 // RXNQT-4361 // RXNQT-4360 // RXNQT-4359	indole glucosinolate activation (intact plant cell)	indole glucosinolate activation (intact plant cell) // indole glucosinolate breakdown (the PEN2 pathway) // indole glucosinolate breakdown (intact plant cell)		CPD-8913 // CPDQT-331 // CPDQT-436	CPD-1863	PWYQT-4477					GLUCOSINOLATE-DEG		Activation // Secondary metabolite degradation	Secondary metabolite degradation	CPDQT-432 // CPDQT-433 // CPDQT-436 // CPDQT-435 // CPDQT-331 // CPD-8913 // GLUTATHIONE // SULFATE // CPDQT-429 // Glucopyranose // CPD-1881 // Ox-NADPH-Hemoprotein-Reductases // CPD-1863 // OXYGEN-MOLECULE // Red-NADPH-Hemoprotein-Reductases // PROTON // ADENOSYL-HOMO-CYS // 4-METHOXY-3-INDOLYLMETHYL-GLUCOSINOLATE // S-ADENOSYLMETHIONINE // 4-HYDROXY-3-INDOLYLMETHYL-GLUCOSINOLATE // GLT // CPD-21171 // GLY // CPD-21172 // CPDQT-434 // WATER	S-ADENOSYLMETHIONINE // CPD-1863 // OXYGEN-MOLECULE // Red-NADPH-Hemoprotein-Reductases // GLUTATHIONE	RXN-19576 // RXN-19574 // RXN-2163 // RXN-2162 // RXN-1444 // RXNQT-4350 // RXNQT-4363 // RXNQT-4364 // RXNQT-4362 // RXNQT-4361 // RXNQT-4360 // RXNQT-4359
PWY66-162	ACETATE--COA-LIGASE-RXN // RXN66-1 // RXN66-3	ethanol degradation IV	ethanol degradation IV		ACETYL-COA	ETOH	PWY66-162					Ethanol-Degradation		Alcohol-Degradation	Alcohol-Degradation	PROTON // NADH // NAD // ACETALD // WATER // ETOH // HYDROGEN-PEROXIDE // AMP // PPI // ACETYL-COA // CO-A // ACET // ATP	CO-A // ATP // ETOH // HYDROGEN-PEROXIDE // NAD	ACETATE--COA-LIGASE-RXN // RXN66-1 // RXN66-3
PWY66-161	ACETATE--COA-LIGASE-RXN // RXN66-3 // RXN66-2	ethanol degradation III	ethanol degradation III		ACETYL-COA	ETOH	PWY66-161					Ethanol-Degradation		Alcohol-Degradation	Alcohol-Degradation	CPD-20501 // Ox-NADPH-Hemoprotein-Reductases // ETOH // OXYGEN-MOLECULE // Red-NADPH-Hemoprotein-Reductases // PROTON // NADH // ACETALD // WATER // NAD // AMP // PPI // ACETYL-COA // CO-A // ACET // ATP	CO-A // ATP // NAD // ETOH // OXYGEN-MOLECULE // Red-NADPH-Hemoprotein-Reductases	ACETATE--COA-LIGASE-RXN // RXN66-3 // RXN66-2
ETOH-ACETYLCOA-ANA-PWY	ACETALD-DEHYDROG-RXN // ALCOHOL-DEHYDROG-RXN	ethanol degradation I	ethanol degradation I // acetyl-CoA biosynthesis (from alcohol)		ACETYL-COA	ETOH	ETOH-ACETYLCOA-ANA-PWY					Ethanol-Degradation		Alcohol-Degradation	Alcohol-Degradation	ETOH // PROTON // NADH // ACETYL-COA // ACETALD // CO-A // NAD	CO-A // NAD // ETOH	ACETALD-DEHYDROG-RXN // ALCOHOL-DEHYDROG-RXN
PWY66-21	ACETATE--COA-LIGASE-RXN // RXN66-3 // ALCOHOL-DEHYDROG-RXN	ethanol degradation II	ethanol degradation II		ACETYL-COA	ETOH	PWY66-21					Ethanol-Degradation		Alcohol-Degradation	Alcohol-Degradation	ETOH // PROTON // NADH // ACETALD // WATER // NAD // AMP // PPI // ACETYL-COA // CO-A // ACET // ATP	CO-A // ATP // WATER // NAD // ETOH	ACETATE--COA-LIGASE-RXN // RXN66-3 // ALCOHOL-DEHYDROG-RXN
PWY-6131	GLYCERONE-KINASE-RXN // GLYCDEH-RXN	glycerol degradation II	glycerol degradation II		DIHYDROXY-ACETONE-PHOSPHATE	GLYCEROL	PWY-6131	PWY-7003 // GOLPDLCAT-PWY				GLYCEROL-DEG		Alcohol-Degradation	Alcohol-Degradation	NADH // GLYCEROL // NAD // ADP // DIHYDROXY-ACETONE-PHOSPHATE // PROTON // DIHYDROXYACETONE // ATP	ATP // GLYCEROL // NAD	GLYCERONE-KINASE-RXN // GLYCDEH-RXN
GLYCEROLMETAB-PWY	2.7.1.121-RXN // GLYCDEH-RXN	glycerol degradation V	glycerol degradation V		DIHYDROXY-ACETONE-PHOSPHATE	GLYCEROL	GLYCEROLMETAB-PWY					GLYCEROL-DEG		Alcohol-Degradation	Alcohol-Degradation	Hpr-Histidine // Hpr-pi-phospho-L-histidines // NADH // PROTON // GLYCEROL // NAD // DIHYDROXY-ACETONE-PHOSPHATE // PYRUVATE // PHOSPHO-ENOL-PYRUVATE // DIHYDROXYACETONE	PHOSPHO-ENOL-PYRUVATE // GLYCEROL // NAD	2.7.1.121-RXN // GLYCDEH-RXN
PWY-6952	RXN-15745 // GLYCPDIESTER-RXN	glycerophosphodiester degradation	glycerophosphodiester degradation		DIHYDROXY-ACETONE-PHOSPHATE	Glycerophosphodiesters	PWY-6952	PWY0-381				GLYCEROL-DEG		Alcohol-Degradation	Alcohol-Degradation	E- // PROTON // Alcohols // Glycerophosphodiesters // WATER // DIHYDROXY-ACETONE-PHOSPHATE // ETR-Quinols // ETR-Quinones // GLYCEROL-3P	ETR-Quinones // Glycerophosphodiesters // WATER	RXN-15745 // GLYCPDIESTER-RXN
CYCLOHEXANOL-OXIDATION-PWY	6-HEXANOLIDE-HYDROLYSIS-RXN // 6-HYDROXYHEXANOATE-OXIDATION-RXN // 6-OXOHEXANOATE-OXIDATION-RXN // CYCLOHEXANONE-MONOOXYGENASE-RXN // CYCLOHEXANOL-DEHYDROGENASE-RXN	cyclohexanol degradation	cyclohexanol degradation		ADIPATE	CYCLOHEXANOL	CYCLOHEXANOL-OXIDATION-PWY					Alcohol-Degradation		Alcohol-Degradation	Alcohol-Degradation	CYCLOHEXANOL // CYCLOHEXANONE // OXYGEN-MOLECULE // NADPH // ADIPATE // NADP // NADH // 6-OXO-HEXANOATE // NAD // CPD-102 // PROTON // CPD-101 // WATER	NAD // OXYGEN-MOLECULE // CYCLOHEXANOL	6-HEXANOLIDE-HYDROLYSIS-RXN // 6-HYDROXYHEXANOATE-OXIDATION-RXN // 6-OXOHEXANOATE-OXIDATION-RXN // CYCLOHEXANONE-MONOOXYGENASE-RXN // CYCLOHEXANOL-DEHYDROGENASE-RXN
PWY66-389	RXN66-482 // RXN66-480 // RXN66-479 // RXN66-478	phytol degradation	phytol degradation		CPD-206	PHYTOL	PWY66-389					Alcohol-Degradation		Alcohol-Degradation	Alcohol-Degradation	PHYTOL // NADH // CPD-14926 // NAD // WATER // PPI // AMP // CPD-14927 // ATP // CO-A // NADP // CPD-206 // CPD-14928 // NADPH // PROTON	NADPH // ATP // CO-A // NAD // WATER // PHYTOL	RXN66-482 // RXN66-480 // RXN66-479 // RXN66-478
PWY-6464	RXN-11316 // RXN-11317	polyvinyl alcohol degradation	polyvinyl alcohol degradation		ACET // Oxidized-Polyvinyl-Alcohol	POLYVINYL-ALCOHOL	PWY-6464					Alcohol-Degradation		Alcohol-Degradation	Alcohol-Degradation	ACET // WATER // PROTON // Cytochromes-C-Reduced // Oxidized-Polyvinyl-Alcohol // POLYVINYL-ALCOHOL // Cytochromes-C-Oxidized	POLYVINYL-ALCOHOL // Cytochromes-C-Oxidized // WATER	RXN-11316 // RXN-11317
PWY0-1280	GLYCOLALDREDUCT-RXN // GLYCOLALD-DEHYDROG-RXN	ethylene glycol degradation	ethylene glycol degradation		GLYCOLLATE	GLYCOL	PWY0-1280	GLYCOL-GLYOXDEG-PWY				Alcohol-Degradation		Alcohol-Degradation	Alcohol-Degradation	GLYCOLLATE // WATER // PROTON // NADH // GLYCOLALDEHYDE // GLYCOL // NAD	GLYCOL // NAD // WATER	GLYCOLALDREDUCT-RXN // GLYCOLALD-DEHYDROG-RXN
PWY3O-246	RR-BUTANEDIOL-DEHYDROGENASE-RXN	"(R,R)-butanediol degradation"	"(R,R)-butanediol degradation // (R,R)-butylene-glycol degradation"		CPD-10353	BUTANEDIOL	PWY3O-246					2-3-Butanediol-Degradation		Alcohol-Degradation	Alcohol-Degradation	PROTON // NADH // CPD-10353 // BUTANEDIOL // NAD	BUTANEDIOL // NAD	RR-BUTANEDIOL-DEHYDROGENASE-RXN
PWY-6388	SS-BUTANEDIOL-DEHYDROGENASE-RXN	"(S,S)-butanediol degradation"	"(S,S)-butanediol degradation // (S,S)-butylene-glycol degradation"		CPD-255	CPD-346	PWY-6388					2-3-Butanediol-Degradation		Alcohol-Degradation	Alcohol-Degradation	PROTON // NADH // CPD-255 // CPD-346 // NAD	CPD-346 // NAD	SS-BUTANEDIOL-DEHYDROGENASE-RXN
PWY-4261	TRANS-RXN-131 // RXN-15745 // GLYCEROL-KIN-RXN	glycerol degradation I	glycerol degradation I		DIHYDROXY-ACETONE-PHOSPHATE	GLYCEROL	PWY-4261	PWY0-381				Fatty-Acid-and-Lipid-Degradation // GLYCEROL-DEG		Alcohol-Degradation // Fatty-Acid-and-Lipid-Degradation	Fatty-Acid-and-Lipid-Degradation	E- // ADP // PROTON // ATP // DIHYDROXY-ACETONE-PHOSPHATE // ETR-Quinols // ETR-Quinones // GLYCEROL-3P // GLYCEROL	ETR-Quinones // ATP	TRANS-RXN-131 // RXN-15745 // GLYCEROL-KIN-RXN
PWY0-1315	LACTALDREDUCT-RXN	L-lactaldehyde degradation (anaerobic)	L-lactaldehyde degradation (anaerobic)		PROPANE-1-2-DIOL	LACTALD	PWY0-1315	FUC-RHAMCAT-PWY				Lactaldehyde-Degradation		Aldehyde-Degradation	Aldehyde-Degradation	PROTON // NADH // LACTALD // PROPANE-1-2-DIOL // NAD	LACTALD // NADH // PROTON	LACTALDREDUCT-RXN
PWY0-1317	LACTALDDEHYDROG-RXN // L-LACTDEHYDROGFMN-RXN	L-lactaldehyde degradation (aerobic)	L-lactaldehyde degradation (aerobic)		PYRUVATE	LACTALD	PWY0-1317	FUC-RHAMCAT-PWY // PWY-5459				Lactaldehyde-Degradation		Aldehyde-Degradation	Aldehyde-Degradation	E- // PYRUVATE // ETR-Quinols // ETR-Quinones // PROTON // NADH // L-LACTATE // LACTALD // NAD // WATER	LACTALD // NAD // WATER // ETR-Quinones	LACTALDDEHYDROG-RXN // L-LACTDEHYDROGFMN-RXN
PWY-4741	METHYLGUANIDINASE-RXN // RXN-7261	creatinine degradation III	creatinine degradation III		METHYLAMINE	CREATININE	PWY-4741					Creatinine-Degradation		AMINE-DEG	AMINE-DEG	Acceptor // ACET // CREATININE // Donor-H2 // METHYLAMINE // UREA // WATER // CPD-593	WATER // CREATININE // Donor-H2	METHYLGUANIDINASE-RXN // RXN-7261
PWY-4722	CREATININE-DEAMINASE-RXN // SARCOX-RXN // SARCOSINE-DEHYDROGENASE-RXN // N-CARBAMOYLSARCOSINE-AMIDASE-RXN // 3.5.2.14-RXN	creatinine degradation II	creatinine degradation II		GLY	CREATININE	PWY-4722					Creatinine-Degradation		AMINE-DEG	AMINE-DEG	ADP // Pi // ATP // CARBON-DIOXIDE // CARBAMOYL-SARCOSINE // ETF-Reduced // ETF-Oxidized // HYDROGEN-PEROXIDE // FORMALDEHYDE // GLY // OXYGEN-MOLECULE // SARCOSINE // N-METHYLHYDANTOIN // AMMONIUM // PROTON // WATER // CREATININE	WATER // CREATININE // OXYGEN-MOLECULE // ETF-Oxidized // ATP	CREATININE-DEAMINASE-RXN // SARCOX-RXN // SARCOSINE-DEHYDROGENASE-RXN // N-CARBAMOYLSARCOSINE-AMIDASE-RXN // 3.5.2.14-RXN
CRNFORCAT-PWY	SARCOX-RXN // SARCOSINE-DEHYDROGENASE-RXN // CREATINASE-RXN // CREATININASE-RXN	creatinine degradation I	creatinine degradation I // creatinine catabolism		GLY	CREATININE	CRNFORCAT-PWY					Creatinine-Degradation		AMINE-DEG	AMINE-DEG	CREATININE // UREA // CREATINE // ETF-Reduced // ETF-Oxidized // PROTON // HYDROGEN-PEROXIDE // FORMALDEHYDE // GLY // OXYGEN-MOLECULE // WATER // SARCOSINE	OXYGEN-MOLECULE // WATER // ETF-Oxidized // PROTON // CREATININE	SARCOX-RXN // SARCOSINE-DEHYDROGENASE-RXN // CREATINASE-RXN // CREATININASE-RXN
PWY-5703	RXN0-5222 // RXN-20065 // UREA-CARBOXYLASE-RXN	urea degradation I	urea degradation I		CARBON-DIOXIDE // AMMONIUM	UREA	PWY-5703	ALLANTOINDEG-PWY				Urea-Degradation		AMINE-DEG	AMINE-DEG	Pi // ADP // ATP // UREA // CPD-578 // WATER // AMMONIUM // CARBON-DIOXIDE // CARBAMATE // PROTON	WATER // ATP // UREA	RXN0-5222 // RXN-20065 // UREA-CARBOXYLASE-RXN
PWY-5704	UREASE-RXN	urea degradation II	urea degradation II // urea assimilation		AMMONIUM	UREA	PWY-5704	URDEGR-PWY				Urea-Degradation		AMINE-DEG	AMINE-DEG	CARBON-DIOXIDE // AMMONIUM // UREA // WATER // PROTON	UREA // WATER // PROTON	UREASE-RXN
PWY-6967	RXN-2841	methylamine degradation I	methylamine degradation I // methylotrophy		FORMALDEHYDE	METHYLAMINE	PWY-6967	PWY-1701				Methylamine-Degradation		AMINE-DEG	AMINE-DEG	PROTON // Reduced-Amicyanins // AMMONIUM // FORMALDEHYDE // METHYLAMINE // WATER // Oxidized-Amicyanins	METHYLAMINE // WATER // Oxidized-Amicyanins	RXN-2841
PWY-6965	RXN-12902 // METHYLGUTAMATE-DEHYDROGENASE-RXN // GLUTAMATE--METHYLAMINE-LIGASE-RXN	methylamine degradation II	methylamine degradation II		CPD-404 // AMMONIUM // FORMALDEHYDE	METHYLAMINE // GLT	PWY-6965	PWY-6962				Methylamine-Degradation		AMINE-DEG	AMINE-DEG	PROTON // ADP // Pi // METHYLAMINE // ATP // FORMALDEHYDE // Donor-H2 // Acceptor // AMMONIUM // CPD-404 // GLT // N5-METHYLGLUTAMINE // WATER	WATER // Acceptor // METHYLAMINE // ATP	RXN-12902 // METHYLGUTAMATE-DEHYDROGENASE-RXN // GLUTAMATE--METHYLAMINE-LIGASE-RXN
PWY-6117	RXN-12091 // RXN-9015 // SPERMACTRAN-RXN // RXN-9940 // RXN-9939	spermine and spermidine degradation I	spermine and spermidine degradation I // polyamine degradation I		PUTRESCINE	SPERMINE	PWY-6117					SPERMINE-SPERMIDINE-DEG		AMINE-DEG	AMINE-DEG	N1-ACETYLSPERMINE // CO-A // PROTON // ACETYL-COA // CPD-6082 // SPERMIDINE // SPERMINE // HYDROGEN-PEROXIDE // CPD-10687 // PUTRESCINE // CPD-568 // OXYGEN-MOLECULE // WATER	OXYGEN-MOLECULE // WATER // SPERMINE // ACETYL-COA	RXN-12091 // RXN-9015 // SPERMACTRAN-RXN // RXN-9940 // RXN-9939
PWY-6441	RXN-9015 // RXN-12089	spermine and spermidine degradation III	spermine and spermidine degradation III // polyamine degradation III		PUTRESCINE	SPERMINE	PWY-6441					SPERMINE-SPERMIDINE-DEG		AMINE-DEG	AMINE-DEG	PUTRESCINE // HYDROGEN-PEROXIDE // CPD-6082 // SPERMIDINE // SPERMINE // OXYGEN-MOLECULE // WATER	SPERMINE // OXYGEN-MOLECULE // WATER	RXN-9015 // RXN-12089
PWY-6440	RXN-6423 // RXN-10747 // RXN-6425 // RXN-6424 // RXN-6421	spermine and spermidine degradation II	spermine and spermidine degradation II // polyamine degradation II		CPD-6124 // 4-AMINO-BUTYRALDEHYDE // CPD-6122 // CPD-313 // CPD-6121	SPERMIDINE // SPERMINE	PWY-6440					SPERMINE-SPERMIDINE-DEG		AMINE-DEG	AMINE-DEG	SPERMINE // CPD-6121 // CPD-6122 // PROTON // CPD-6123 // HYDROGEN-PEROXIDE // CPD-313 // SPERMIDINE // OXYGEN-MOLECULE // WATER // CPD-6124 // 4-AMINO-BUTYRALDEHYDE	SPERMIDINE // OXYGEN-MOLECULE // SPERMINE	RXN-6423 // RXN-10747 // RXN-6425 // RXN-6424 // RXN-6421
PWY-8109	RXN-21063 // RXN-21062	proline betaine degradation II	proline betaine degradation II		5-METHYL-THF-GLU-N // CoI-MtpC-Proteins	CPD-821 // CoI-MtpC-Proteins	PWY-8109					Proline-Betaine-Degradation		AMINE-DEG	AMINE-DEG	CPD-904 // CPD-821 // PROTON // CoI-MtpC-Proteins // 5-METHYL-THF-GLU-N // Methylated-MtpC-Proteins // THF-GLU-N	THF-GLU-N // CPD-821	RXN-21063 // RXN-21062
P561-PWY	RXN-15941 // R502-RXN // R501-RXN	proline betaine degradation I	proline betaine degradation I // stachydrine catabolism // stachydrine degradation // L-proline betaine catabolism		PRO	CPD-17175	P561-PWY					Proline-Betaine-Degradation		AMINE-DEG	AMINE-DEG	NAD-P-OR-NOP // NADH-P-OR-NOP // PROTON // HYDROGEN-PEROXIDE // FORMALDEHYDE // PRO // CPD-904 // OXYGEN-MOLECULE // WATER // CPD-17175 // CPD-821	CPD-17175 // OXYGEN-MOLECULE // NADH-P-OR-NOP // PROTON	RXN-15941 // R502-RXN // R501-RXN
PWY-3641	1.1.1.39-RXN // RXN-6002 // RXN-5921	L-carnitine degradation II	L-carnitine degradation II		PYRUVATE // TRIMETHYLAMINE // CPD-16618	CARNITINE	PWY-3641					CARN-DEG		AMINE-DEG	AMINE-DEG	OXALACETIC_ACID // NAD-P-OR-NOP // TRIMETHYLAMINE // CARNITINE // OXYGEN-MOLECULE // NADH-P-OR-NOP // PROTON // NADPH // CPD-16618 // NADP // WATER // NADH // CARBON-DIOXIDE // PYRUVATE // MAL // NAD	NAD // NADP // CARNITINE // OXYGEN-MOLECULE // NADH-P-OR-NOP	1.1.1.39-RXN // RXN-6002 // RXN-5921
PWY-3602	RXN-20778 // RXN-22883 // CARNITINE-3-DEHYDROGENASE-RXN	L-carnitine degradation III	L-carnitine degradation III		BETAINE	CARNITINE	PWY-3602					CARN-DEG		AMINE-DEG	AMINE-DEG	NADH // NAD // CARNITINE // PROTON // CO-A // BETAINE // WATER // 3-KETOBUTYRATE // CPD-22401 // ACETYL-COA // 3-DE-H-CARNITINE	ACETYL-COA // WATER // NAD // CARNITINE	RXN-20778 // RXN-22883 // CARNITINE-3-DEHYDROGENASE-RXN
PWY-7472	CARNRACE-RXN // CARNITINE-3-DEHYDROGENASE-RXN	D-carnitine degradation II	D-carnitine degradation II		BETAINE	D-CARNITINE	PWY-7472					D-Carnitine-Degradation		AMINE-DEG	AMINE-DEG	PROTON // NADH // 3-DE-H-CARNITINE // NAD // CARNITINE // D-CARNITINE	D-CARNITINE // NAD	CARNRACE-RXN // CARNITINE-3-DEHYDROGENASE-RXN
PWY-7471	RXN-22883 // RXN-20778 // 1.1.1.254-RXN	D-carnitine degradation I	D-carnitine degradation I		BETAINE	D-CARNITINE	PWY-7471					D-Carnitine-Degradation		AMINE-DEG	AMINE-DEG	NADH // D-CARNITINE // NAD // 3-KETOBUTYRATE // ACETYL-COA // 3-DE-H-CARNITINE // PROTON // CO-A // BETAINE // CPD-22401 // WATER	WATER // ACETYL-COA // D-CARNITINE // NAD	RXN-22883 // RXN-20778 // 1.1.1.254-RXN
PWY-8108	RXN-21056 // RXN-21058	glycine betaine degradation IV	glycine betaine degradation IV		5-METHYL-THF-GLU-N // CoI-MtgC-Proteins	BETAINE // CoI-MtgC-Proteins	PWY-8108					Glycine-Betaine-Degradation		AMINE-DEG	AMINE-DEG	5-METHYL-THF-GLU-N // THF-GLU-N // DIMETHYL-GLYCINE // Methylated-MtgC-Proteins // BETAINE // CoI-MtgC-Proteins // PROTON	BETAINE // THF-GLU-N	RXN-21056 // RXN-21058
