Study_ID	Site	Site_code	Sample_Type	Family	Order	Stage	Exposure	Stream_Type	Month
KK1859	PCR1	PCR1	Sample	Hydropsychidae	Trichoptera	Larvae	Exposed	ACWA Streams	September
KK1860	PCR1	PCR1	Sample	Hydropsychidae	Trichoptera	Larvae	Exposed	ACWA Streams	September
KK1861	PCR3	PCR3	Sample	Hydropsychidae	Trichoptera	Larvae	Exposed	ACWA Streams	September
KK1862	PCR3	PCR3	Sample	Hydropsychidae	Trichoptera	Larvae	Exposed	ACWA Streams	September
KK1863	PCR3	PCR3	Sample	Hydropsychidae	Trichoptera	Larvae	Exposed	ACWA Streams	September
KK1864	PCR3	PCR3	Sample	Hydropsychidae	Trichoptera	Larvae	Exposed	ACWA Streams	September
KK1865	PCR3	PCR3	Sample	Hydropsychidae	Trichoptera	Larvae	Exposed	ACWA Streams	September
KK1866	PCR3	PCR3	Sample	Hydropsychidae	Trichoptera	Larvae	Exposed	ACWA Streams	September
KK1867	PCR3	PCR3	Sample	Hydropsychidae	Trichoptera	Larvae	Exposed	ACWA Streams	September
KK1868	PCR3	PCR3	Sample	Hydropsychidae	Trichoptera	Larvae	Exposed	ACWA Streams	September
KK1869	Cochrane	COCH	Sample	Heptageniidae	Ephemeroptera	Larvae	Unexposed	Bow River	July
KK1870	Cochrane	COCH	Sample	Heptageniidae	Ephemeroptera	Larvae	Unexposed	Bow River	July
KK1871	Cochrane	COCH	Sample	Heptageniidae	Ephemeroptera	Larvae	Unexposed	Bow River	July
KK1872	Cochrane	COCH	Sample	Heptageniidae	Ephemeroptera	Larvae	Unexposed	Bow River	July
KK1873	Cochrane	COCH	Sample	Heptageniidae	Ephemeroptera	Larvae	Unexposed	Bow River	July
KK1874	Cochrane	COCH	Sample	Heptageniidae	Ephemeroptera	Larvae	Unexposed	Bow River	July
KK1875	Cochrane	COCH	Sample	Heptageniidae	Ephemeroptera	Larvae	Unexposed	Bow River	July
KK1876	Cochrane	COCH	Sample	Heptageniidae	Ephemeroptera	Larvae	Unexposed	Bow River	July
KK1877	Cushing Bridge	CUSHBR	Sample	Heptageniidae	Ephemeroptera	Larvae	Unexposed	Bow River	July
KK1878	Cushing Bridge	CUSHBR	Sample	Heptageniidae	Ephemeroptera	Larvae	Unexposed	Bow River	July
KK1879	Cushing Bridge	CUSHBR	Sample	Heptageniidae	Ephemeroptera	Larvae	Unexposed	Bow River	July
KK1880	Cushing Bridge	CUSHBR	Sample	Heptageniidae	Ephemeroptera	Larvae	Unexposed	Bow River	July
KK1881	Cushing Bridge	CUSHBR	Sample	Heptageniidae	Ephemeroptera	Larvae	Unexposed	Bow River	July
KK1882	Cushing Bridge	CUSHBR	Sample	Heptageniidae	Ephemeroptera	Larvae	Unexposed	Bow River	July
KK1883	Cushing Bridge	CUSHBR	Sample	Heptageniidae	Ephemeroptera	Larvae	Unexposed	Bow River	July
KK1884	Cushing Bridge	CUSHBR	Sample	Heptageniidae	Ephemeroptera	Larvae	Unexposed	Bow River	July
KK1885	Sunalta	SUN	Sample	Heptageniidae	Ephemeroptera	Larvae	Unexposed	Bow River	July
KK1886	Sunalta	SUN	Sample	Heptageniidae	Ephemeroptera	Larvae	Unexposed	Bow River	July
KK1887	Sunalta	SUN	Sample	Heptageniidae	Ephemeroptera	Larvae	Unexposed	Bow River	July
KK1888	Sunalta	SUN	Sample	Heptageniidae	Ephemeroptera	Larvae	Unexposed	Bow River	July
KK1889	Sunalta	SUN	Sample	Heptageniidae	Ephemeroptera	Larvae	Unexposed	Bow River	July
KK1890	Sunalta	SUN	Sample	Heptageniidae	Ephemeroptera	Larvae	Unexposed	Bow River	July
KK1891	Sunalta	SUN	Sample	Heptageniidae	Ephemeroptera	Larvae	Unexposed	Bow River	July
KK1892	Sunalta	SUN	Sample	Heptageniidae	Ephemeroptera	Larvae	Unexposed	Bow River	July
KK1893	Graves Bridge	GRVBR	Sample	Heptageniidae	Ephemeroptera	Larvae	Exposed	Bow River	July
KK1894	Graves Bridge	GRVBR	Sample	Heptageniidae	Ephemeroptera	Larvae	Exposed	Bow River	July
KK1895	Graves Bridge	GRVBR	Sample	Heptageniidae	Ephemeroptera	Larvae	Exposed	Bow River	July
KK1896	Graves Bridge	GRVBR	Sample	Heptageniidae	Ephemeroptera	Larvae	Exposed	Bow River	July
KK1897	Graves Bridge	GRVBR	Sample	Heptageniidae	Ephemeroptera	Larvae	Exposed	Bow River	July
KK1898	Graves Bridge	GRVBR	Sample	Heptageniidae	Ephemeroptera	Larvae	Exposed	Bow River	July
KK1899	Graves Bridge	GRVBR	Sample	Heptageniidae	Ephemeroptera	Larvae	Exposed	Bow River	July
KK1900	Graves Bridge	GRVBR	Sample	Heptageniidae	Ephemeroptera	Larvae	Exposed	Bow River	July
KK1901	Policeman Flats	PMF	Sample	Heptageniidae	Ephemeroptera	Larvae	Exposed	Bow River	July
KK1902	Policeman Flats	PMF	Sample	Heptageniidae	Ephemeroptera	Larvae	Exposed	Bow River	July
KK1903	Policeman Flats	PMF	Sample	Heptageniidae	Ephemeroptera	Larvae	Exposed	Bow River	July
KK1904	Policeman Flats	PMF	Sample	Heptageniidae	Ephemeroptera	Larvae	Exposed	Bow River	July
KK1905	Policeman Flats	PMF	Sample	Heptageniidae	Ephemeroptera	Larvae	Exposed	Bow River	July
KK1906	Policeman Flats	PMF	Sample	Heptageniidae	Ephemeroptera	Larvae	Exposed	Bow River	July
KK1907	Policeman Flats	PMF	Sample	Heptageniidae	Ephemeroptera	Larvae	Exposed	Bow River	July
KK1908	Policeman Flats	PMF	Sample	Heptageniidae	Ephemeroptera	Larvae	Exposed	Bow River	July
KK1909	Cochrane	COCH	Sample	Chironomidae	Diptera	Larvae	Unexposed	Bow River	July
KK1912	Cochrane	COCH	Sample	Chironomidae	Diptera	Larvae	Unexposed	Bow River	July
KK1913	Cochrane	COCH	Sample	Chironomidae	Diptera	Larvae	Unexposed	Bow River	July
KK1914	Cochrane	COCH	Sample	Chironomidae	Diptera	Larvae	Unexposed	Bow River	July
KK1915	Cushing Bridge	CUSHBR	Sample	Chironomidae	Diptera	Larvae	Unexposed	Bow River	July
KK1916	Cushing Bridge	CUSHBR	Sample	Chironomidae	Diptera	Larvae	Unexposed	Bow River	July
KK1917	Cushing Bridge	CUSHBR	Sample	Chironomidae	Diptera	Larvae	Unexposed	Bow River	July
KK1919	Cushing Bridge	CUSHBR	Sample	Chironomidae	Diptera	Larvae	Unexposed	Bow River	July
KK1920	Cushing Bridge	CUSHBR	Sample	Chironomidae	Diptera	Larvae	Unexposed	Bow River	July
KK1921	Cushing Bridge	CUSHBR	Sample	Chironomidae	Diptera	Larvae	Unexposed	Bow River	July
KK1923	Policeman Flats	PMF	Sample	Chironomidae	Diptera	Larvae	Exposed	Bow River	July
KK1927	Policeman Flats	PMF	Sample	Chironomidae	Diptera	Larvae	Exposed	Bow River	July
KK1928	Policeman Flats	PMF	Sample	Chironomidae	Diptera	Larvae	Exposed	Bow River	July
KK1930	Policeman Flats	PMF	Sample	Chironomidae	Diptera	Larvae	Exposed	Bow River	July
KK1931	Cochrane	COCH	Sample	Perlidae	Plecoptera	Larvae	Unexposed	Bow River	July
KK1932	Cochrane	COCH	Sample	Perlidae	Plecoptera	Larvae	Unexposed	Bow River	July
KK1933	Cochrane	COCH	Sample	Perlidae	Plecoptera	Larvae	Unexposed	Bow River	July
KK1934	Cochrane	COCH	Sample	Perlidae	Plecoptera	Larvae	Unexposed	Bow River	July
KK1935	Cochrane	COCH	Sample	Perlidae	Plecoptera	Larvae	Unexposed	Bow River	July
KK1936	Cochrane	COCH	Sample	Perlidae	Plecoptera	Larvae	Unexposed	Bow River	July
KK1937	Cochrane	COCH	Sample	Perlidae	Plecoptera	Larvae	Unexposed	Bow River	July
KK1938	Cochrane	COCH	Sample	Perlidae	Plecoptera	Larvae	Unexposed	Bow River	July
KK1939	Cushing Bridge	CUSHBR	Sample	Perlidae	Plecoptera	Larvae	Unexposed	Bow River	July
KK1940	Cushing Bridge	CUSHBR	Sample	Perlidae	Plecoptera	Larvae	Unexposed	Bow River	July
KK1941	Cushing Bridge	CUSHBR	Sample	Perlidae	Plecoptera	Larvae	Unexposed	Bow River	July
KK1942	Cushing Bridge	CUSHBR	Sample	Perlidae	Plecoptera	Larvae	Unexposed	Bow River	July
KK1943	Cushing Bridge	CUSHBR	Sample	Perlidae	Plecoptera	Larvae	Unexposed	Bow River	July
KK1944	Policeman Flats	PMF	Sample	Perlidae	Plecoptera	Larvae	Exposed	Bow River	July
KK1945	Policeman Flats	PMF	Sample	Perlidae	Plecoptera	Larvae	Exposed	Bow River	July
KK1946	Policeman Flats	PMF	Sample	Perlidae	Plecoptera	Larvae	Exposed	Bow River	July
KK1947	Policeman Flats	PMF	Sample	Perlidae	Plecoptera	Larvae	Exposed	Bow River	July
KK1948	Policeman Flats	PMF	Sample	Perlidae	Plecoptera	Larvae	Exposed	Bow River	July
KK1949	Policeman Flats	PMF	Sample	Perlidae	Plecoptera	Larvae	Exposed	Bow River	July
KK1950	Policeman Flats	PMF	Sample	Perlidae	Plecoptera	Larvae	Exposed	Bow River	July
KK1951	Policeman Flats	PMF	Sample	Perlidae	Plecoptera	Larvae	Exposed	Bow River	July
KK1961	PCR1	PCR1	Sample	Baetidae	Ephemeroptera	Larvae	Exposed	ACWA Streams	September
KK1962	PCR1	PCR1	Sample	Baetidae	Ephemeroptera	Larvae	Exposed	ACWA Streams	September
KK1963	PCR1	PCR1	Sample	Baetidae	Ephemeroptera	Larvae	Exposed	ACWA Streams	September
KK1964	PCR1	PCR1	Sample	Baetidae	Ephemeroptera	Larvae	Exposed	ACWA Streams	September
KK1965	PCR1	PCR1	Sample	Baetidae	Ephemeroptera	Larvae	Exposed	ACWA Streams	September
KK1966	PCR1	PCR1	Sample	Baetidae	Ephemeroptera	Larvae	Exposed	ACWA Streams	September
KK1967	PCR1	PCR1	Sample	Baetidae	Ephemeroptera	Larvae	Exposed	ACWA Streams	September
KK1968	PCR1	PCR1	Sample	Baetidae	Ephemeroptera	Larvae	Exposed	ACWA Streams	September
KK1969	PCR3	PCR3	Sample	Baetidae	Ephemeroptera	Larvae	Exposed	ACWA Streams	September
KK1970	PCR3	PCR3	Sample	Baetidae	Ephemeroptera	Larvae	Exposed	ACWA Streams	September
KK1971	PCR3	PCR3	Sample	Baetidae	Ephemeroptera	Larvae	Exposed	ACWA Streams	September
KK1972	PCR3	PCR3	Sample	Baetidae	Ephemeroptera	Larvae	Exposed	ACWA Streams	September
KK1973	PCR3	PCR3	Sample	Baetidae	Ephemeroptera	Larvae	Exposed	ACWA Streams	September
KK1974	PCR3	PCR3	Sample	Baetidae	Ephemeroptera	Larvae	Exposed	ACWA Streams	September
KK1975	PCR3	PCR3	Sample	Baetidae	Ephemeroptera	Larvae	Exposed	ACWA Streams	September
KK1976	PCR1	PCR1	Sample	Ephemeroptera	Ephemeroptera	Adults	Exposed	ACWA Streams	September
KK1977	PCR1	PCR1	Sample	Ephemeroptera	Ephemeroptera	Adults	Exposed	ACWA Streams	September
KK1978	PCR1	PCR1	Sample	Ephemeroptera	Ephemeroptera	Adults	Exposed	ACWA Streams	September
KK1979	PCR1	PCR1	Sample	Ephemeroptera	Ephemeroptera	Adults	Exposed	ACWA Streams	September
KK1980	PCR1	PCR1	Sample	Ephemeroptera	Ephemeroptera	Adults	Exposed	ACWA Streams	September
KK1981	PCR1	PCR1	Sample	Ephemeroptera	Ephemeroptera	Adults	Exposed	ACWA Streams	September
KK1982	PCR1	PCR1	Sample	Ephemeroptera	Ephemeroptera	Adults	Exposed	ACWA Streams	September
KK1983	PCR1	PCR1	Sample	Ephemeroptera	Ephemeroptera	Adults	Exposed	ACWA Streams	September
KK1984	PCR3	PCR3	Sample	Ephemeroptera	Ephemeroptera	Adults	Exposed	ACWA Streams	September
KK1985	PCR3	PCR3	Sample	Ephemeroptera	Ephemeroptera	Adults	Exposed	ACWA Streams	September
KK1986	PCR3	PCR3	Sample	Ephemeroptera	Ephemeroptera	Adults	Exposed	ACWA Streams	September
KK1987	PCR3	PCR3	Sample	Ephemeroptera	Ephemeroptera	Adults	Exposed	ACWA Streams	September
KK1988	PCR3	PCR3	Sample	Ephemeroptera	Ephemeroptera	Adults	Exposed	ACWA Streams	September
KK1989	PCR3	PCR3	Sample	Ephemeroptera	Ephemeroptera	Adults	Exposed	ACWA Streams	September
KK1990	PCR3	PCR3	Sample	Ephemeroptera	Ephemeroptera	Adults	Exposed	ACWA Streams	September
KK1991	PCR3	PCR3	Sample	Ephemeroptera	Ephemeroptera	Adults	Exposed	ACWA Streams	September
KK1992	Cochrane	COCH	Sample	Araneidae	Araneae	Spiders	Unexposed	Bow River	July
KK1993	Cochrane	COCH	Sample	Araneidae	Araneae	Spiders	Unexposed	Bow River	July
KK1994	Cochrane	COCH	Sample	Araneidae	Araneae	Spiders	Unexposed	Bow River	July
KK1995	Cochrane	COCH	Sample	Araneidae	Araneae	Spiders	Unexposed	Bow River	July
KK1996	Cochrane	COCH	Sample	Araneidae	Araneae	Spiders	Unexposed	Bow River	July
KK1997	Cochrane	COCH	Sample	Araneidae	Araneae	Spiders	Unexposed	Bow River	July
KK1998	Cochrane	COCH	Sample	Araneidae	Araneae	Spiders	Unexposed	Bow River	July
KK1999	Cochrane	COCH	Sample	Araneidae	Araneae	Spiders	Unexposed	Bow River	July
KK2000	Graves Bridge	GRVBR	Sample	Araneidae	Araneae	Spiders	Exposed	Bow River	July
KK2001	Graves Bridge	GRVBR	Sample	Araneidae	Araneae	Spiders	Exposed	Bow River	July
KK2002	Graves Bridge	GRVBR	Sample	Araneidae	Araneae	Spiders	Exposed	Bow River	July
KK2003	Graves Bridge	GRVBR	Sample	Araneidae	Araneae	Spiders	Exposed	Bow River	July
KK2004	Graves Bridge	GRVBR	Sample	Araneidae	Araneae	Spiders	Exposed	Bow River	July
KK2005	Graves Bridge	GRVBR	Sample	Araneidae	Araneae	Spiders	Exposed	Bow River	July
KK2006	Graves Bridge	GRVBR	Sample	Araneidae	Araneae	Spiders	Exposed	Bow River	July
KK2007	Graves Bridge	GRVBR	Sample	Araneidae	Araneae	Spiders	Exposed	Bow River	July
KK2008	Cushing Bridge	CUSHBR	Sample	Araneidae	Araneae	Spiders	Unexposed	Bow River	July
KK2009	Cushing Bridge	CUSHBR	Sample	Araneidae	Araneae	Spiders	Unexposed	Bow River	July
KK2010	Cushing Bridge	CUSHBR	Sample	Araneidae	Araneae	Spiders	Unexposed	Bow River	July
KK2011	Cushing Bridge	CUSHBR	Sample	Araneidae	Araneae	Spiders	Unexposed	Bow River	July
KK2013	Cushing Bridge	CUSHBR	Sample	Araneidae	Araneae	Spiders	Unexposed	Bow River	July
KK2014	Cushing Bridge	CUSHBR	Sample	Araneidae	Araneae	Spiders	Unexposed	Bow River	July
KK2015	Cushing Bridge	CUSHBR	Sample	Araneidae	Araneae	Spiders	Unexposed	Bow River	July
KK2016	Sunalta	SUN	Sample	Araneidae	Araneae	Spiders	Unexposed	Bow River	July
KK2017	Sunalta	SUN	Sample	Araneidae	Araneae	Spiders	Unexposed	Bow River	July
KK2018	Sunalta	SUN	Sample	Araneidae	Araneae	Spiders	Unexposed	Bow River	July
KK2019	Sunalta	SUN	Sample	Araneidae	Araneae	Spiders	Unexposed	Bow River	July
KK2020	Sunalta	SUN	Sample	Araneidae	Araneae	Spiders	Unexposed	Bow River	July
KK2021	Sunalta	SUN	Sample	Araneidae	Araneae	Spiders	Unexposed	Bow River	July
KK2022	Sunalta	SUN	Sample	Araneidae	Araneae	Spiders	Unexposed	Bow River	July
KK2023	Sunalta	SUN	Sample	Araneidae	Araneae	Spiders	Unexposed	Bow River	July
KK2024	Policeman Flats	PMF	Sample	Araneidae	Araneae	Spiders	Exposed	Bow River	July
KK2025	Policeman Flats	PMF	Sample	Araneidae	Araneae	Spiders	Exposed	Bow River	July
KK2028	Policeman Flats	PMF	Sample	Araneidae	Araneae	Spiders	Exposed	Bow River	July
KK2029	Policeman Flats	PMF	Sample	Araneidae	Araneae	Spiders	Exposed	Bow River	July
KK2030	Policeman Flats	PMF	Sample	Araneidae	Araneae	Spiders	Exposed	Bow River	July
KK2031	Policeman Flats	PMF	Sample	Araneidae	Araneae	Spiders	Exposed	Bow River	July
KK2032	Cochrane	COCH	Sample	Tetragnathidae	Araneae	Spiders	Unexposed	Bow River	July
KK2033	Cochrane	COCH	Sample	Tetragnathidae	Araneae	Spiders	Unexposed	Bow River	July
KK2034	Cochrane	COCH	Sample	Tetragnathidae	Araneae	Spiders	Unexposed	Bow River	July
KK2035	Cochrane	COCH	Sample	Tetragnathidae	Araneae	Spiders	Unexposed	Bow River	July
KK2036	Cochrane	COCH	Sample	Tetragnathidae	Araneae	Spiders	Unexposed	Bow River	July
KK2037	Cochrane	COCH	Sample	Tetragnathidae	Araneae	Spiders	Unexposed	Bow River	July
KK2038	Cochrane	COCH	Sample	Tetragnathidae	Araneae	Spiders	Unexposed	Bow River	July
KK2039	Cochrane	COCH	Sample	Tetragnathidae	Araneae	Spiders	Unexposed	Bow River	July
KK2040	Graves Bridge	GRVBR	Sample	Tetragnathidae	Araneae	Spiders	Exposed	Bow River	July
KK2041	Graves Bridge	GRVBR	Sample	Tetragnathidae	Araneae	Spiders	Exposed	Bow River	July
KK2042	Graves Bridge	GRVBR	Sample	Tetragnathidae	Araneae	Spiders	Exposed	Bow River	July
KK2043	Graves Bridge	GRVBR	Sample	Tetragnathidae	Araneae	Spiders	Exposed	Bow River	July
KK2044	Graves Bridge	GRVBR	Sample	Tetragnathidae	Araneae	Spiders	Exposed	Bow River	July
KK2045	Graves Bridge	GRVBR	Sample	Tetragnathidae	Araneae	Spiders	Exposed	Bow River	July
KK2046	Graves Bridge	GRVBR	Sample	Tetragnathidae	Araneae	Spiders	Exposed	Bow River	July
KK2047	Graves Bridge	GRVBR	Sample	Tetragnathidae	Araneae	Spiders	Exposed	Bow River	July
KK2048	Cushing Bridge	CUSHBR	Sample	Tetragnathidae	Araneae	Spiders	Unexposed	Bow River	July
KK2049	Cushing Bridge	CUSHBR	Sample	Tetragnathidae	Araneae	Spiders	Unexposed	Bow River	July
KK2050	Cushing Bridge	CUSHBR	Sample	Tetragnathidae	Araneae	Spiders	Unexposed	Bow River	July
KK2051	Cushing Bridge	CUSHBR	Sample	Tetragnathidae	Araneae	Spiders	Unexposed	Bow River	July
KK2052	Cushing Bridge	CUSHBR	Sample	Tetragnathidae	Araneae	Spiders	Unexposed	Bow River	July
KK2053	Cushing Bridge	CUSHBR	Sample	Tetragnathidae	Araneae	Spiders	Unexposed	Bow River	July
KK2054	Cushing Bridge	CUSHBR	Sample	Tetragnathidae	Araneae	Spiders	Unexposed	Bow River	July
KK2055	Cushing Bridge	CUSHBR	Sample	Tetragnathidae	Araneae	Spiders	Unexposed	Bow River	July
KK2056	Sunalta	SUN	Sample	Tetragnathidae	Araneae	Spiders	Unexposed	Bow River	July
KK2057	Sunalta	SUN	Sample	Tetragnathidae	Araneae	Spiders	Unexposed	Bow River	July
KK2058	Sunalta	SUN	Sample	Tetragnathidae	Araneae	Spiders	Unexposed	Bow River	July
KK2059	Sunalta	SUN	Sample	Tetragnathidae	Araneae	Spiders	Unexposed	Bow River	July
KK2060	Sunalta	SUN	Sample	Tetragnathidae	Araneae	Spiders	Unexposed	Bow River	July
KK2061	Sunalta	SUN	Sample	Tetragnathidae	Araneae	Spiders	Unexposed	Bow River	July
KK2062	Sunalta	SUN	Sample	Tetragnathidae	Araneae	Spiders	Unexposed	Bow River	July
KK2063	Sunalta	SUN	Sample	Tetragnathidae	Araneae	Spiders	Unexposed	Bow River	July
KK2064	Policeman Flats	PMF	Sample	Tetragnathidae	Araneae	Spiders	Exposed	Bow River	July
KK2065	Policeman Flats	PMF	Sample	Tetragnathidae	Araneae	Spiders	Exposed	Bow River	July
KK2066	Policeman Flats	PMF	Sample	Tetragnathidae	Araneae	Spiders	Exposed	Bow River	July
KK2067	Policeman Flats	PMF	Sample	Tetragnathidae	Araneae	Spiders	Exposed	Bow River	July
KK2068	Policeman Flats	PMF	Sample	Tetragnathidae	Araneae	Spiders	Exposed	Bow River	July
KK2069	Policeman Flats	PMF	Sample	Tetragnathidae	Araneae	Spiders	Exposed	Bow River	July
KK2070	Policeman Flats	PMF	Sample	Tetragnathidae	Araneae	Spiders	Exposed	Bow River	July
KK2071	Policeman Flats	PMF	Sample	Tetragnathidae	Araneae	Spiders	Exposed	Bow River	July
KK2077	Cochrane	COCH	Sample	Diptera	Diptera	Adults	Unexposed	Bow River	July
KK2079	Cochrane	COCH	Sample	Diptera	Diptera	Adults	Unexposed	Bow River	July
KK2080	Cochrane	COCH	Sample	Diptera	Diptera	Adults	Unexposed	Bow River	July
KK2082	Cochrane	COCH	Sample	Diptera	Diptera	Adults	Unexposed	Bow River	July
KK2083	Cochrane	COCH	Sample	Diptera	Diptera	Adults	Unexposed	Bow River	July
KK2084	Cochrane	COCH	Sample	Ephemeroptera	Ephemeroptera	Adults	Unexposed	Bow River	July
KK2085	Cochrane	COCH	Sample	Ephemeroptera	Ephemeroptera	Adults	Unexposed	Bow River	July
KK2086	Cochrane	COCH	Sample	Ephemeroptera	Ephemeroptera	Adults	Unexposed	Bow River	July
KK2087	Cochrane	COCH	Sample	Ephemeroptera	Ephemeroptera	Adults	Unexposed	Bow River	July
KK2088	Cochrane	COCH	Sample	Ephemeroptera	Ephemeroptera	Adults	Unexposed	Bow River	July
KK2089	Cochrane	COCH	Sample	Ephemeroptera	Ephemeroptera	Adults	Unexposed	Bow River	July
KK2090	Cochrane	COCH	Sample	Ephemeroptera	Ephemeroptera	Adults	Unexposed	Bow River	July
KK2091	Cochrane	COCH	Sample	Ephemeroptera	Ephemeroptera	Adults	Unexposed	Bow River	July
KK2092	Cochrane	COCH	Sample	Trichoptera	Trichoptera	Adults	Unexposed	Bow River	July
KK2093	Cochrane	COCH	Sample	Trichoptera	Trichoptera	Adults	Unexposed	Bow River	July
KK2094	Cochrane	COCH	Sample	Trichoptera	Trichoptera	Adults	Unexposed	Bow River	July
KK2095	Cochrane	COCH	Sample	Trichoptera	Trichoptera	Adults	Unexposed	Bow River	July
