Site,Type,Sample_ID,Month,Sample_Type,Minutes_elapsed,Length,Mass,Phosphorus,P_org,org_rate_P,P_Mass,Excr_rate_P,Ammonia,NH3_org,org_rate_NH3,NH3_Mass,Excr_rate_NH3,Water_Temp,Dissolved_oxygen,TP,TDS,TSS,Ammonia
Graves Bridge,Bow River,GRVBR_1_LAR_CADDIS_EXCRETIAH20_2,July,Sample,62,3.879,17.919,92.2,88.82,1.432580645,4.956749819,0.079947578,43.6,42.93,0.692419355,2.395781015,0.038641629,14.45,N/A,N/A,N/A,N/A,N/A
Graves Bridge,Bow River,GRVBR_1_LAR_CADDIS_EXCRETIAH20_3,July,Sample,61,3.229,11.321,97.4,94.02,1.541311475,8.30492006,0.13614623,42.2,41.53,0.680819672,3.668403851,0.060137768,14.45,N/A,N/A,N/A,N/A,N/A
Graves Bridge,Bow River,GRVBR_1_LAR_CADDIS_EXCRETIAH20_4,July,Sample,60,3.212,9.343,48.7,45.32,0.755333333,4.850690356,0.080844839,29.6,28.93,0.482166667,3.096435834,0.051607264,14.45,N/A,N/A,N/A,N/A,N/A
Graves Bridge,Bow River,GRVBR_1_LAR_CADDIS_EXCRETIAH20_5,July,Sample,61,3.107,10.84,24.1,20.72,0.339672131,1.911439114,0.031335067,19.7,19.03,0.311967213,1.755535055,0.028779263,14.45,N/A,N/A,N/A,N/A,N/A
Policeman Flats,Bow River,POLFLT_1_BLANK_EXCRETIAH20_1,July,Blank,69,N/A,N/A,2.48,0,0,N/A,N/A,7.03,0,0,N/A,N/A,13.7,9.46,0.019,165,8.9,<DL (0.05)
Policeman Flats,Bow River,POLFLT_1_LAR_CADDIS_EXCRETIAH20_1,July,Sample,69,4.06,21.701,54.8,52.32,0.75826087,2.410948804,0.034941287,262,254.97,3.695217391,11.74922815,0.170278669,13.7,9.46,0.019,165,8.9,<DL (0.05)
Policeman Flats,Bow River,POLFLT_1_LAR_CADDIS_EXCRETIAH20_2,July,Sample,68,4.712,35.499,59.8,57.32,0.842941176,1.614693372,0.023745491,91.5,84.47,1.242205882,2.379503648,0.034992701,13.7,9.46,0.019,165,8.9,<DL (0.05)
Policeman Flats,Bow River,POLFLT_1_LAR_CADDIS_EXCRETIAH20_3,July,Sample,68,4.279,27.907,22.7,20.22,0.297352941,0.724549396,0.010655138,27.5,20.47,0.301029412,0.733507722,0.010786878,13.7,9.46,0.019,165,8.9,<DL (0.05)
Policeman Flats,Bow River,POLFLT_1_LAR_CADDIS_EXCRETIAH20_4,July,Sample,68,3.603,19.016,30.9,28.42,0.417941176,1.494530921,0.021978396,42.3,35.27,0.518676471,1.854753891,0.027275793,13.7,9.46,0.019,165,8.9,<DL (0.05)
Policeman Flats,Bow River,POLFLT_1_LAR_CADDIS_EXCRETIAH20_5,July,Sample,61,4.111,23.54,27.4,24.92,0.40852459,1.05862362,0.017354486,14.55,7.52,0.123278689,0.319456245,0.005236988,13.7,9.46,0.019,165,8.9,<DL (0.05)
Policeman Flats,Bow River,POLFLT_1_LAR_CADDIS_EXCRETIAH20_6,July,Sample,88,4.554,20.294,57.6,55.12,0.626363636,2.716073716,0.030864474,28.2,21.17,0.240568182,1.043165468,0.011854153,13.7,9.46,0.019,165,8.9,<DL (0.05)
Policeman Flats,Bow River,POLFLT_1_LAR_CADDIS_EXCRETIAH20_7,July,Sample,89,3.579,12.277,25.7,23.22,0.260898876,1.891341533,0.021251028,34.3,27.27,0.306404494,2.221226684,0.024957603,13.7,9.46,0.019,165,8.9,<DL (0.05)
Policeman Flats,Bow River,POLFLT_1_LAR_CADDIS_EXCRETIAH20_8,July,Sample,88,3.827,8.603,32.8,30.32,0.344545455,3.52435197,0.040049454,35.2,28.17,0.320113636,3.274439149,0.037209536,13.7,9.46,0.019,165,8.9,<DL (0.05)
Policeman Flats,Bow River,PMF_NUT_H20_BL_1,September,Blank,60,N/A,N/A,1.76,0,0,N/A,N/A,52.7,0,0,N/A,N/A,11,8.08,0.025,202,<DL (2),0.11
Policeman Flats,Bow River,PMF_NUT_H20_1,September,Sample,65,3.571,11.049,58.6,56.84,0.874461538,5.144356955,0.079143953,146,93.3,1.435384615,8.444203095,0.129910817,11,8.08,0.025,202,<DL (2),0.11
Policeman Flats,Bow River,PMF_NUT_H20_2,September,Sample,65,3.55,14.862,28.8,27.04,0.416,1.819405194,0.027990849,121,68.3,1.050769231,4.595612973,0.070701738,11,8.08,0.025,202,<DL (2),0.11
Policeman Flats,Bow River,PMF_NUT_H20_3,September,Sample,65,3.946,11.707,28.7,26.94,0.414461538,2.301187324,0.035402882,30.6,-22.1,-0.34,-1.88775946,-0.029042453,11,8.08,0.025,202,<DL (2),0.11
Policeman Flats,Bow River,PMF_NUT_H20_4,September,Sample,65,3.33,10.185,25.2,23.44,0.360615385,2.301423662,0.035406518,0.67,-52.03,-0.800461538,-5.108492882,-0.078592198,11,8.08,0.025,202,<DL (2),0.11
Policeman Flats,Bow River,PMF_NUT_H20_5,September,Sample,65,3.749,17.794,9.33,7.57,0.116461538,0.4254243,0.006544989,0.67,-52.03,-0.800461538,-2.924019332,-0.044984913,11,8.08,0.025,202,<DL (2),0.11
Policeman Flats,Bow River,PMF_NUT_H20_6,September,Sample,65,4.291,16.548,9.97,8.21,0.126307692,0.496132463,0.007632807,0.67,-52.03,-0.800461538,-3.144186609,-0.048372102,11,8.08,0.025,202,<DL (2),0.11
Policeman Flats,Bow River,PMF_NUT_H20_7,September,Sample,65,3.953,22.196,54,52.24,0.803692308,2.353577221,0.03620888,15.2,-37.5,-0.576923077,-1.689493602,-0.025992209,11,8.08,0.025,202,<DL (2),0.11
Policeman Flats,Bow River,PMF_NUT_H20_8,September,Sample,65,4.062,20.946,4.93,3.17,0.048769231,0.151341545,0.002328331,4.015,-48.685,-0.749,-2.324310131,-0.035758617,11,8.08,0.025,202,<DL (2),0.11
Policeman Flats,Bow River,PMF_NUT_H20_9,September,Sample,64,4.04,14.973,39.2,37.44,0.585,2.500500902,0.039070327,22.3,-30.4,-0.475,-2.030321245,-0.031723769,11,8.08,0.025,202,<DL (2),0.11
Policeman Flats,Bow River,PMF_NUT_H20_10,September,Sample,65,3.15,13.195,7.11,5.35,0.082307692,0.405456612,0.006237794,0.67,-52.03,-0.800461538,-3.943160288,-0.060664004,11,8.08,0.025,202,<DL (2),0.11
BBR2,ACWA Stream,ACWA_CONT_NUT_H2O_BL_1,September,Blank,60,N/A,N/A,0.79,0,0,N/A,N/A,15,0,0,N/A,N/A,11,N/A,N/A,N/A,N/A,N/A
BBR2,ACWA Stream,ACWA_CONT_NUT_H2O_1,September,Sample,65,3.621,20.6,93.4,92.61,1.424769231,4.495631068,0.069163555,26.5,11.5,0.176923077,0.558252427,0.008588499,11,N/A,N/A,N/A,N/A,N/A
BBR2,ACWA Stream,ACWA_CONT_NUT_H2O_2,September,Sample,65,3.31,11.046,24.7,23.91,0.367846154,2.164584465,0.033301299,49.9,34.9,0.536923077,3.159514756,0.048607919,11,N/A,N/A,N/A,N/A,N/A
BBR2,ACWA Stream,ACWA_CONT_NUT_H2O_3,September,Sample,65,2.751,9.874,102,101.21,1.557076923,10.25015191,0.157694645,48.2,33.2,0.510769231,3.362365809,0.051728705,11,N/A,N/A,N/A,N/A,N/A
BBR2,ACWA Stream,ACWA_CONT_NUT_H2O_4,September,Sample,64,3.331,11.007,64.15,63.36,0.99,5.756336877,0.089942764,35.1,20.1,0.3140625,1.826110657,0.028532979,11,N/A,N/A,N/A,N/A,N/A
BBR2,ACWA Stream,ACWA_CONT_NUT_H2O_5,September,Sample,65,2.302,6.143,162,161.21,2.480153846,26.24287807,0.403736586,100,85,1.307692308,13.83688751,0.212875192,11,N/A,N/A,N/A,N/A,N/A
BBR2,ACWA Stream,ACWA_CONT_NUT_H2O_6,September,Sample,65,2.959,5.178,31.2,30.41,0.467846154,5.872923909,0.090352676,35.4,20.4,0.313846154,3.939745075,0.060611463,11,N/A,N/A,N/A,N/A,N/A
BBR2,ACWA Stream,ACWA_CONT_NUT_H2O_7,September,Sample,65,2.408,4.255,36.5,35.71,0.549384615,8.392479436,0.129115068,69,54,0.830769231,12.69095182,0.195245413,11,N/A,N/A,N/A,N/A,N/A
BBR2,ACWA Stream,ACWA_CONT_NUT_H2O_8,September,Sample,65,2.421,5.234,25.1,24.31,0.374,4.644631257,0.071455865,33.1,18.1,0.278461538,3.458158196,0.053202434,11,N/A,N/A,N/A,N/A,N/A
BBR2,ACWA Stream,ACWA_CONT_NUT_H2O_9,September,Sample,64,3.022,9.72,101,100.21,1.56578125,10.30967078,0.161088606,28.5,13.5,0.2109375,1.388888889,0.021701389,11,N/A,N/A,N/A,N/A,N/A
BBR2,ACWA Stream,ACWA_CONT_NUT_H2O_10,September,Sample,65,2.253,3.824,9.89,9.1,0.14,2.379707113,0.036610879,0.67,-14.33,-0.220461538,-3.747384937,-0.057652076,11,N/A,N/A,N/A,N/A,N/A
PCR1,ACWA Stream,ACWA_5%_NUT_H2O_BL_1,September,Blank,59,N/A,N/A,1.615,0,0,N/A,N/A,14.75,0,0,N/A,N/A,13,N/A,N/A,N/A,N/A,N/A
PCR1,ACWA Stream,ACWA_5%_NUT_H2O_1,September,Sample,65,2.783,5.616,2.6,0.985,0.015153846,0.175391738,0.002698334,0.67,-14.08,-0.216615385,-2.507122507,-0.038571115,13,N/A,N/A,N/A,N/A,N/A
PCR1,ACWA Stream,ACWA_5%_NUT_H2O_2,September,Sample,65,3.775,8.37,440,438.385,6.744384615,52.37574671,0.805780719,64.1,49.35,0.759230769,5.896057348,0.090708575,13,N/A,N/A,N/A,N/A,N/A
PCR1,ACWA Stream,ACWA_5%_NUT_H2O_3,September,Sample,65,3.812,8.279,195,193.385,2.975153846,23.3584974,0.359361498,75.7,60.95,0.937692308,7.362000242,0.113261542,13,N/A,N/A,N/A,N/A,N/A
PCR1,ACWA Stream,ACWA_5%_NUT_H2O_4,September,Sample,66,3.511,6.281,61,59.385,0.899772727,9.454704665,0.143253101,37,22.25,0.337121212,3.542429549,0.053673175,13,N/A,N/A,N/A,N/A,N/A
PCR1,ACWA Stream,ACWA_5%_NUT_H2O_5,September,Sample,65,3.442,6.82,135,133.385,2.052076923,19.55791789,0.300891044,120,105.25,1.619230769,15.43255132,0.237423866,13,N/A,N/A,N/A,N/A,N/A
PCR1,ACWA Stream,ACWA_5%_NUT_H2O_6,September,Sample,66,4.007,13.467,266,264.385,4.005833333,19.63206356,0.297455508,85.8,71.05,1.076515152,5.275859508,0.079937265,13,N/A,N/A,N/A,N/A,N/A
PCR1,ACWA Stream,ACWA_5%_NUT_H2O_7,September,Sample,66,3.512,9.721,107,105.385,1.596742424,10.84096286,0.164257013,45.9,31.15,0.471969697,3.204402839,0.048551558,13,N/A,N/A,N/A,N/A,N/A
PCR1,ACWA Stream,ACWA_5%_NUT_H2O_8,September,Sample,65,3.055,4.376,134,132.385,2.036692308,30.25251371,0.465423288,56.9,42.15,0.648461538,9.632084095,0.148185909,13,N/A,N/A,N/A,N/A,N/A
PCR1,ACWA Stream,ACWA_5%_NUT_H2O_9,September,Sample,65,2.74,4.248,85,83.385,1.282846154,19.62923729,0.301988266,39.6,24.85,0.382307692,5.849811676,0.089997103,13,N/A,N/A,N/A,N/A,N/A
PCR1,ACWA Stream,ACWA_5%_NUT_H2O_10,September,Sample,65,2.996,3.843,18.25,16.635,0.252045455,4.328649493,0.065585598,88.6,73.85,1.136153846,19.21675774,0.295642427,13,N/A,N/A,N/A,N/A,N/A
PCR3,ACWA Stream,ACWA_15%_NUT_H2O_BL_1,September,Blank,60,N/A,N/A,0.79,0,0,N/A,N/A,25.9,0,0,N/A,N/A,14,N/A,N/A,N/A,N/A,N/A
PCR3,ACWA Stream,ACWA_15%_NUT_H2O_1,September,Sample,66,2.592,5.819,85.8,85.01,1.288030303,14.60903935,0.221349081,65.4,39.5,0.598484848,6.788107922,0.10285012,14,N/A,N/A,N/A,N/A,N/A
PCR3,ACWA Stream,ACWA_15%_NUT_H2O_2,September,Sample,66,3.415,5.966,135,134.21,2.033484848,22.49580959,0.3408456,34.1,8.2,0.124242424,1.374455246,0.020825079,14,N/A,N/A,N/A,N/A,N/A
PCR3,ACWA Stream,ACWA_15%_NUT_H2O_3,September,Sample,66,2.471,3.445,33.2,32.41,0.491060606,9.407837446,0.142542992,41.9,16,0.242424242,4.644412192,0.070369882,14,N/A,N/A,N/A,N/A,N/A
PCR3,ACWA Stream,ACWA_15%_NUT_H2O_4,September,Sample,66,2.344,3.331,37.6,36.81,0.557727273,11.05073551,0.167435387,27.4,1.5,0.022727273,0.450315221,0.006822958,14,N/A,N/A,N/A,N/A,N/A
PCR3,ACWA Stream,ACWA_15%_NUT_H2O_5,September,Sample,66,3.7,12.021,39.25,38.46,0.582727273,3.199401048,0.048475773,65.8,39.9,0.604545455,3.319191415,0.050290779,14,N/A,N/A,N/A,N/A,N/A
PCR3,ACWA Stream,ACWA_15%_NUT_H2O_6,September,Sample,65,3.021,8.819,90.4,89.61,1.378615385,10.16101599,0.156323323,56.6,30.7,0.472307692,3.481120308,0.053555697,14,N/A,N/A,N/A,N/A,N/A
PCR3,ACWA Stream,ACWA_15%_NUT_H2O_7,September,Sample,66,3.897,11.399,205,204.21,3.094090909,17.91472936,0.271435293,59.1,33.2,0.503030303,2.912536187,0.044129336,14,N/A,N/A,N/A,N/A,N/A
PCR3,ACWA Stream,ACWA_15%_NUT_H2O_8,September,Sample,65,2.374,4.237,13.35,11.82,0.181846154,2.7897097,0.042918611,53.3,27.4,0.421538462,6.466839745,0.099489842,14,N/A,N/A,N/A,N/A,N/A
PCR3,ACWA Stream,ACWA_15%_NUT_H2O_9,September,Sample,66,3.278,5.997,43.6,42.81,0.648636364,7.138569285,0.108160141,37.5,11.6,0.175757576,1.934300484,0.029307583,14,N/A,N/A,N/A,N/A,N/A
PCR3,ACWA Stream,ACWA_15%_NUT_H2O_10,September,Sample,65,2.974,5.736,84,83.21,1.280153846,14.50662483,0.223178843,36,10.1,0.155384615,1.760808926,0.027089368,14,N/A,N/A,N/A,N/A,N/A
